project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
13316 KINCANE DR,1360BR NEW 1 STORY 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2026-05-08,1,1,13316 KINCANE DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698751,13316 KINCANE DRIVE,NA,Austin,Texas,United States,1
2113 HASKELL ST BLDG 3,ePlan: Residential Expedited Review - Three Unit - Bldg 3 New Construction of  2-Story SF Res [3bed 2.5bath] w/ attached carport,2026-06-03,1,2,2113 HASKELL ST BLDG 3,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712340,2113 HASKELL STREET BLDG 3,NA,Austin,Texas,United States,1
2000 BREEZE HOLW BLDG 1,Bldg. 1 New two story residence w/ 4 bed 3.5 baths front porch and deck.,2026-05-15,1,2,2000 BREEZE HOLW BLDG 1,78741,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13703302,2000 BREEZE HOLW BLDG 1,NA,Austin,Texas,United States,1
13206 KEEFER DR,Galloway 3312 A Right New - 1 Story SFR CONDOMINUM w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio FFE: 681.62 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 21-10 Actual Bld height: 21-10 required parking: 2.,2026-05-01,1,1,13206 KEEFER DR,78652,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695148,13206 KEEFER DRIVE,NA,Austin,Texas,United States,1
1902 EVA ST BLDG 2,New 2-story 1 bedroom 1 bathroom dwelling unit with attached garage covered porch and covered 2nd floor balcony.,2026-05-01,1,2,1902 EVA ST BLDG 2,78704,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13686653,1902 EVA STREET BLDG 2,NA,Austin,Texas,United States,1
2807 ROCK TERRACE DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 4.5bath] with Attached Garage.,2026-05-20,1,2,2807 ROCK TERRACE DR,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13706287,2807 ROCK TERRACE DRIVE,NA,Austin,Texas,United States,1
9305 FURMAN DR,Moscoso S423 B Right New - 1 Story SFR w/ 4 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-05-30,1,1,9305 FURMAN DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711530,9305 FURMAN DRIVE,NA,Austin,Texas,United States,1
7013 FROG POND BND,New 1-story single family residence 4 bed/2 bath with attached garage covered porch and patio green building smart housing,2026-06-03,1,1,7013 FROG POND BND,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13713328,7013 FROG POND BND,NA,Austin,Texas,United States,1
9708 OXBOW STRAP DR,"New construction of 1 story sfr  3 beds 2 baths attached garage covered porch and patio

PUD",2026-06-01,1,1,9708 OXBOW STRAP DR,78724,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708068,9708 OXBOW STRAP DRIVE,NA,Austin,Texas,United States,1
8626 CHALGRIN PL,*Green Building* New 1-story 3 bedroom 2 bathroom single family residence with attached garage covered front porch and side covered patio.,2026-05-05,1,1,8626 CHALGRIN PL,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695098,8626 CHALGRIN PLACE,NA,Austin,Texas,United States,1
12308 SAINT THOMAS DR,Congaree 340-T-R Is A new one-story single family residence with (3) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-05-15,1,1,12308 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704783,12308 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
12316 SAINT THOMAS DR,Hughes 841-O-R Is a New one-story single-family residence with (4) bedrooms (3) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-05-27,1,1,12316 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708450,12316 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
12112 SAGRADA ST,2527BR NEW 2 STORY 4 BEDROOM 2 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2026-05-27,1,2,12112 SAGRADA ST,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13710193,12112 SAGRADA STREET,NA,Austin,Texas,United States,1
9509 GOLDEN LION DR,New 2-story single family residence 4 bed/4.5 bath with attached garage covered porch and patio,2026-05-15,1,2,9509 GOLDEN LION DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13702237,9509 GOLDEN LION DRIVE,NA,Austin,Texas,United States,1
908 REDD ST,"ePlan: Residential Expedited Review - New Construction of a 2-Story Single Family Res [4bed 5bath] with Attached Garage.
*Repair curb and gutter with new drive permit",2026-04-30,1,2,908 REDD ST,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695792,908 REDD STREET,NA,Austin,Texas,United States,1
4012 MONTAGE PASS,*S.M.A.R.T. HOUSING* *GREEN BUILDING* ePlan: Residential Expedited Review - New construction of a 3-Story Townhome [3bed 3.5bath] with Attached Garage. 4012 MONTAGE PASS,2026-06-02,1,3,4012 MONTAGE PASS,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712085,4012 MONTAGE PASS,NA,Austin,Texas,United States,1
12400 SAINT THOMAS DR,Callahan 830-O-R Is a New one-story single family residence with (4) bedrooms (2) bathrooms an attached two-car garage and a covered entry porch and patio.,2026-05-27,1,1,12400 SAINT THOMAS DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13709981,12400 SAINT THOMAS DRIVE,NA,Austin,Texas,United States,1
6308 ROTUNDA VW,New SFR 3 Bed 2.5 Bath 2 car garage alley access,2026-06-01,1,2,6308 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13712006,6308 ROTUNDA VW,NA,Austin,Texas,United States,1
2816 PALOMINO TRL,New Manufactured home to be placed on vacant lot with permanent foundation standard utilities,2026-05-29,1,1,2816 PALOMINO TRL,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13536131,2816 PALOMINO TRAIL,NA,Austin,Texas,United States,1
10111 DOBBIN DR,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4bed 3.5bath] with Attached Garage.,2026-05-01,1,2,10111 DOBBIN DR,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13524940,10111 DOBBIN DRIVE,NA,Austin,Texas,United States,1
3406 DUVAL ST BLDG 3,ePlan: Residential Expedited Review -New construction of a 2-Story Single Family Res. [4bed 3bath]. Bldg 3,2026-06-02,1,2,3406 DUVAL ST BLDG 3,78705,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13698857,3406 DUVAL STREET BLDG 3,NA,Austin,Texas,United States,1
14900 FROG POND CV,"New construction of 1 story sfr attached garage covered porch and patio

PUD",2026-05-08,1,1,14900 FROG POND CV,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13699742,14900 FROG POND CV,NA,Austin,Texas,United States,1
2956 HIGGINS ST BLDG 2,ePlan: Residential Expedited Review - New Two Units: Bldg 2 New Construction of  2-Story Single Family Res. [3bed 2.5bath] with attached carport,2026-06-02,1,2,2956 HIGGINS ST BLDG 2,78722,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13706814,2956 HIGGINS STREET BLDG 2,NA,Austin,Texas,United States,1
1812 MARGARET ST UNIT B,ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [1bed 1bath] over Attached Garage. Unit B,2026-05-01,1,2,1812 MARGARET ST UNIT B,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13695855,1812 MARGARET STREET UNIT B,NA,Austin,Texas,United States,1
8617 DONGAN DR,New two-story SFR (3 br/2ba) with attached garage covered patio and covered porch  New second floor dwelling-unit  garage apartment.  1 bathroom. *PRODUCTION BUILDER- GREEN BUILDING*,2026-05-11,1,2,8617 DONGAN DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700715,8617 DONGAN DRIVE,NA,Austin,Texas,United States,1
8026 BIRD SONG CIR,New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8024 and 8026 bird song) - Unit B,2026-05-04,1,2,8026 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696425,8026 BIRD SONG CIR,NA,Austin,Texas,United States,1
2608 BARTON HILLS DR BLDG 2,New construction two-unit use single-family residential 1-story 2 bedroom 1 bath with covered patio.,2026-05-12,1,1,2608 BARTON HILLS DR BLDG 2,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677582,2608 BARTON HILLS DRIVE BLDG 2,NA,Austin,Texas,United States,1
4610 AVENUE F,New 2-story 3 bedroom 2.5 bathroom single family residence with covered porch and screened patio.,2026-05-13,1,2,4610 AVENUE F,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13692665,4610 AVENUE F,NA,Austin,Texas,United States,1
5211 MONARDA MINT DR,Coolidge 1027-W-L New 2-Story Single Family Residence with (4) bedrooms (3) bathrooms Attached Garage Covered Patio & Porch Cafe & Loft,2026-05-28,1,2,5211 MONARDA MINT DR,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708535,5211 MONARDA MINT DRIVE,NA,Austin,Texas,United States,1
1210 W 12TH ST,ePlan: Residential Expedited Review - New Construction of 2-Story Single Family Res [3bed 3.5bath] with Attached Carport.,2026-05-28,1,2,1210 W 12TH ST,78703,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707193,1210 WEST 12TH STREET,NA,Austin,Texas,United States,1
1608 PEASE RD UNIT B,ePlan: Residential Expedited Review - New construction of a 2-Story Duplex [1bed 1.5bath] with attached Garage. Unit B,2026-05-22,1,2,1608 PEASE RD UNIT B,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13690838,1608 PEASE ROAD UNIT B,NA,Austin,Texas,United States,1
8110 BIRD SONG CIR,New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8108 and 8110 Bird Song) - Unit B,2026-05-21,1,2,8110 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707413,8110 BIRD SONG CIR,NA,Austin,Texas,United States,1
3407 FOOTHILL TER BLDG 2,ePlan: Residential Expedited Review - TWO Unit- Bldg 2 New Construction of Carport with Apartment above [1bed 1.5bath]. Existing SF Res to Remain as is.,2026-05-26,1,2,3407 FOOTHILL TER BLDG 2,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700526,3407 FOOTHILL TER BLDG 2,NA,Austin,Texas,United States,1
4708 GONZALES ST--BLDG 2,ePlan: Residential Expedited Review - New Two Units: Bldg 2 New Construction of 2-Story Single Family Res.[3bed 2.5bath] with attached carport,2026-05-08,1,2,4708 GONZALES ST BLDG 2,78702,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13700544,4708 GONZALES STREET BLDG 2,NA,Austin,Texas,United States,1
13236 LOSGLAID DR,1548AR NEW 1 STORY 3 BEDROOM 2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2026-05-18,1,1,13236 LOSGLAID DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13704808,13236 LOSGLAID DRIVE,NA,Austin,Texas,United States,1
4816 ABERDEEN DR UNIT 1A,Bldg 1A New Construction of  2-Story Single Family Res. [3bed 2.5bath] attached garage,2026-05-21,1,2,4816 ABERDEEN DR UNIT 1A,78745,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707327,4816 ABERDEEN DRIVE UNIT 1A,NA,Austin,Texas,United States,1
6310 ROTUNDA VW,New two story w/ covered porch 4 bed 3 bath single family home,2026-04-30,1,2,6310 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694208,6310 ROTUNDA VW,NA,Austin,Texas,United States,1
8624 CHALGRIN PL,*Green Building* New 2-story 4 bedroom 3 bathroom single family residence with attached garage covered front porch and side covered patio.,2026-06-03,1,2,8624 CHALGRIN PL,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13714181,8624 CHALGRIN PLACE,NA,Austin,Texas,United States,1
2812 SCENIC DR,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [4bed 5bath] with Basement and Attached Garage.,2026-06-02,1,2,2812 SCENIC DR,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13677128,2812 SCENIC DRIVE,NA,Austin,Texas,United States,1
8104 BIRD SONG CIR,New construction of 2 story Duplex Condo each with 3 beds 2.5 baths and attached garage (8104 and 8106 Bird Song) - Unit A,2026-04-29,1,2,8104 BIRD SONG CIR,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13694426,8104 BIRD SONG CIR,NA,Austin,Texas,United States,1
9505 WIGGY WAY,New construction single-family residential 2-story 4 bedroom 4.5 bath with attached 3-car garage covered front porch and covered patio.,2026-05-01,1,2,9505 WIGGY WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13696516,9505 WIGGY WAY,NA,Austin,Texas,United States,1
13233 RIVERSDALE RD,2566CL NEW 2 STORY 4 BEDROOM 2 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2026-05-28,1,2,13233 RIVERSDALE RD,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711012,13233 RIVERSDALE ROAD,NA,Austin,Texas,United States,1
11408 CRAZY ALICE RUN,PB- New construction 4 bed 2.5 bath SFR with attached garage and covered front porch/rear covered patio,2026-05-21,1,2,11408 CRAZY ALICE RUN,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13705636,11408 CRAZY ALICE RUN,NA,Austin,Texas,United States,1
6403 LAUTNER LN,"New construction of 2 story SFR Condo with 3 beds 2.5 baths and attached 2 car garage

PUD",2026-04-30,1,2,6403 LAUTNER LN,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13678287,6403 LAUTNER LANE,NA,Austin,Texas,United States,1
200 W O DELL ST BLDG 1,ePlan: Residential Expedited Review - TWO Unit; Bldg 1 New Construction of 2-Story SF Res [4bed 3.5 bath] with attached garage,2026-06-01,1,2,200 W O DELL ST BLDG 1,78752,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13710648,200 WEST O DELL STREET BLDG 1,NA,Austin,Texas,United States,1
1801 FAIR OAKS DR UNIT B,UNIT B: New 2-story 3 bedroom 2.5 bathroom duplex residence with covered front porch and rear covered patio.,2026-05-22,1,2,1801 FAIR OAKS DR UNIT B,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13708684,1801 FAIR OAKS DRIVE UNIT B,NA,Austin,Texas,United States,1
9601 WIGGY WAY,New construction single-family residential 1-story 4 bedroom 3 bath with attached 3-car garage covered front porch and covered patio.,2026-05-29,1,1,9601 WIGGY WAY,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13710937,9601 WIGGY WAY,NA,Austin,Texas,United States,1
14709 INCH WORM RD,New two-story single family residence with covered patio porch two-car garage.,2026-05-08,1,2,14709 INCH WORM RD,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13699828,14709 INCH WORM ROAD,NA,Austin,Texas,United States,1
8617 PEAFOWL ST,*Green Building* New 2-story 5 bedroom 4 bathroom single family residence with attached garage covered front porch and rear covered patio.,2026-05-04,1,2,8617 PEAFOWL ST,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13697477,8617 PEAFOWL STREET,NA,Austin,Texas,United States,1
6400 ROTUNDA VW,New 2 story single family residence 3 bedroom/2.5 bathroom with attached garage covered porch and patio,2026-06-03,1,2,6400 ROTUNDA VW,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13713474,6400 ROTUNDA VW,NA,Austin,Texas,United States,1
9321 FURMAN DR,Pizarro S414 B Left New - 1 Story SFR w/ 4 bedrooms 3 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-05-30,1,1,9321 FURMAN DR,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13711567,9321 FURMAN DRIVE,NA,Austin,Texas,United States,1
11205 GOLDEN CLOUD BND,PB- New construction 2 story 4 bed 2.5 bath with attached garage and covered porch and patio,2026-06-03,1,2,11205 GOLDEN CLOUD BND,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13713799,11205 GOLDEN CLOUD BND,NA,Austin,Texas,United States,1
9305 DINGO DR,New construction single-family residential 2-story 5 bedroom 4.5 bath with attached 3-car garage covered front porch and covered rear patio.,2026-05-11,1,2,9305 DINGO DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13699547,9305 DINGO DRIVE,NA,Austin,Texas,United States,1
3525 STONERIDGE RD,ePlan: Residential Expedited Review - TWO Unit - Unit 2 (3525 Stoneridge Dr) New construction of a 1-Story Single Family Res. [1bed 2bath] with outdoor kitchen,2026-05-08,1,1,3525 STONERIDGE RD,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13699480,3525 STONERIDGE ROAD,NA,Austin,Texas,United States,1
12020 SAGRADA ST,2527CL NEW 2 STORY 5 BEDROOM 3 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2026-05-20,1,2,12020 SAGRADA ST,78748,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13707731,12020 SAGRADA STREET,NA,Austin,Texas,United States,1
